Date,Time,UpTick,UpVolume,DownTick,DownVolume,UnchVolume,Open,High,Low,Close,Volume,OI,QryIndex
20220704,1105,6,19,6,11,0,14211,14213,14210,14211,30,,545
20220704,1106,11,12,9,10,0,14210,14211,14208,14211,22,,546
20220704,1107,18,30,4,6,0,14210,14215,14210,14214,36,,547
20220704,1108,6,12,7,9,0,14213,14213,14211,14211,21,,548
20220704,1109,44,78,15,27,0,14211,14220,14211,14216,105,,549
20220704,1110,17,17,11,18,0,14215,14216,14211,14214,35,,550
20220704,1111,2,2,8,12,0,14214,14215,14211,14211,14,,551
20220704,1112,8,11,22,37,0,14210,14210,14204,14206,48,,552
20220704,1113,1,1,13,24,0,14206,14206,14204,14204,25,,553
20220704,1114,8,17,3,3,0,14204,14208,14204,14208,20,,554
20220704,1115,2,6,7,11,0,14207,14207,14206,14206,17,,555
20220704,1116,7,13,21,29,0,14205,14206,14201,14203,42,,556
20220704,1117,14,25,38,69,0,14202,14202,14194,14197,94,,557
20220704,1118,6,13,14,29,0,14197,14197,14195,14195,42,,558
20220704,1119,10,19,5,6,0,14195,14200,14194,14200,25,,559
20220704,1120,14,28,11,16,0,14198,14201,14197,14197,44,,560
20220704,1121,5,8,7,15,0,14196,14196,14194,14194,23,,561
20220704,1122,16,39,2,2,0,14195,14197,14195,14196,41,,562
20220704,1123,2,6,14,19,0,14196,14196,14194,14194,25,,563
20220704,1124,16,21,2,4,0,14195,14199,14195,14196,25,,564
20220704,1125,11,14,0,0,0,14196,14197,14196,14197,14,,565
20220704,1126,2,2,7,15,0,14196,14197,14194,14194,17,,566
20220704,1127,16,32,6,10,0,14194,14197,14193,14197,42,,567
20220704,1128,8,16,1,1,0,14197,14199,14197,14199,17,,568
20220704,1129,14,16,6,7,0,14198,14202,14198,14199,23,,569
20220704,1130,5,10,6,20,0,14200,14203,14200,14200,30,,570
20220704,1131,13,18,0,0,0,14201,14201,14201,14201,18,,571
20220704,1132,2,4,3,6,0,14202,14202,14201,14201,10,,572
20220704,1133,10,11,4,5,0,14200,14202,14200,14200,16,,573
20220704,1134,10,13,4,4,0,14201,14206,14201,14204,17,,574
20220704,1135,7,15,11,14,0,14205,14207,14204,14206,29,,575
20220704,1136,11,16,7,13,0,14205,14206,14204,14206,29,,576
20220704,1137,1,7,9,17,0,14205,14205,14201,14202,24,,577
20220704,1138,6,8,2,3,0,14205,14206,14204,14205,11,,578
