Date,Time,UpTick,UpVolume,DownTick,DownVolume,UnchVolume,Open,High,Low,Close,Volume,QryIndex
20211207,0,33974,67012,32460,65490,0,17678,17799,17586,17795,132502,227
20211208,0,30750,62907,31839,63580,0,17805,17988,17781,17851,126487,228
20211209,0,25760,51834,25699,52762,0,17849,17946,17812,17911,104596,229
20211210,0,24945,49005,26263,53596,0,17915,17940,17765,17818,102601,230
20211213,0,26916,51635,29030,58424,0,17824,17944,17743,17752,110059,231
20211214,0,29302,57325,32309,63776,0,17765,17793,17565,17605,121101,232
20211215,0,24884,44911,23007,41862,0,17590,17666,17501,17630,86773,233
20211216,0,30492,64309,28155,58404,0,17581,17809,17530,17804,122713,234
20211217,0,28620,59494,29269,58891,0,17813,17850,17675,17786,118385,235
20211221,0,34242,72646,30440,62667,0,17550,17829,17495,17796,135313,236
20211222,0,19332,40367,20287,42052,0,17812,17852,17762,17833,82419,237
20211223,0,22542,46789,21348,44217,0,17833,17983,17822,17954,91006,238
20211224,0,16133,32817,16873,34603,0,17954,18035,17946,17958,67420,239
20211227,0,17495,36434,15416,30905,0,17940,18099,17917,18068,67339,240
20211228,0,18867,41707,17232,38066,0,18075,18209,18059,18207,79773,241
20211229,0,19041,39532,20121,41975,0,18216,18289,18180,18276,81507,242
20211230,0,17123,34049,19298,40627,0,18273,18291,18177,18212,74676,243
20220103,0,25915,54976,26355,56231,0,18212,18389,18203,18273,111207,244
20220104,0,28165,60695,25046,55268,0,18281,18522,18257,18516,115963,245
20220105,0,27088,54260,28964,61630,0,18516,18577,18438,18480,115890,246
20220106,0,36245,74721,39364,83672,0,18495,18565,18238,18335,158393,247
20220107,0,41862,85626,44825,95870,0,18343,18478,18115,18143,181496,248
20220110,0,38558,74714,35542,69743,0,18131,18264,18022,18258,144457,249
20220111,0,41423,84046,42700,89554,0,18269,18305,18091,18280,173600,250
20220112,0,33936,68820,32685,67197,0,18250,18411,18217,18375,136017,251
20220113,0,31973,66818,31919,65990,0,18383,18485,18357,18425,132808,252
20220114,0,50956,104554,53632,109447,0,18481,18650,18220,18357,214001,253
20220117,0,38764,77186,36094,73043,0,18386,18537,18307,18509,150229,254
20220118,0,29225,58864,32772,68561,0,18519,18583,18347,18349,127425,255
20220119,0,29066,55431,31197,60436,0,18360,18388,18210,18218,115867,256
